質問,
1,アメリカで最も古い大学はどこですか？
2,アメリカで最も大きな州はどこですか？
3,アメリカで最も人口の多い都市はどこですか？
4,アメリカで最も高い建物はどこですか？
5,アメリカで最も多くの国立公園を持つ州はどこですか？
6,アメリカで最も古い都市はどこですか？
7,アメリカで最も多くの博物館を持つ都市はどこですか？
8,アメリカで最も多くのビール醸造所を持つ州はどこですか？
9,アメリカで最も多くのレストランを持つ都市はどこですか？
10,アメリカで最も多くのスタートアップを持つ都市はどこですか？
11,アメリカで最も高い山はどこですか？
12,アメリカで最も長い川はどこですか？
13,アメリカで最も大きな湖はどこですか？
14,アメリカで最も古い木はどこにありますか？
15,アメリカで最も多くの温泉を持つ州はどこですか？
16,アメリカで最も多くの野生動物保護区を持つ州はどこですか？
17,アメリカで最も多くの農場を持つ州はどこですか？
18,アメリカで最も多くのワインを生産する州はどこですか？
19,アメリカで最も多くのチーズを生産する州はどこですか？
20,アメリカで最も多くのオリーブを生産する州はどこですか？
21,アメリカで最も多くのジャズクラブを持つ都市はどこですか？
22,アメリカで最も多くのアートギャラリーを持つ都市はどこですか？
23,アメリカで最も多くの大学を持つ州はどこですか？
24,アメリカで最も多くの科学技術施設を持つ都市はどこですか？
25,アメリカで最も多くの映画館を持つ都市はどこですか？
