質問,
1,日本で最も古い温泉はどこですか？
2,日本で最も小さな村はどこですか？
3,日本で最も多くの祭りが行われる都市はどこですか？
4,日本で最も有名な茶畑はどこですか？
5,日本で最も古い城はどこですか？
6,日本で最も長い川はどこですか？
7,日本で最も高い木はどこにありますか？
8,日本で最も有名な陶磁器の産地はどこですか？
9,日本で最も多くの神社がある都市はどこですか？
10,日本で最も有名な酒蔵はどこですか？
11,日本で最も古い寺はどこですか？
12,日本で最も多くの温泉地がある県はどこですか？
13,日本で最も美しい庭園とされるのはどこですか？
14,日本で最も多くの滝がある県はどこですか？
15,日本で最も多くの漫画喫茶がある都市はどこですか？
16,日本で最も有名な花火大会はどこで行われますか？
17,日本で最も高いビルはどこにありますか？
18,日本で最も有名な紅葉の名所はどこですか？
19,日本で最も多くの蕎麦屋がある都市はどこですか？
20,日本で最も有名な寿司屋はどこですか？
21,日本で最も多くの祭りが開催される季節はいつですか？
22,日本で最も有名な和菓子の産地はどこですか？
23,日本で最も多くの古墳がある地域はどこですか？
24,日本で最も有名な浮世絵の博物館はどこにありますか？
25,日本で最も多くの温泉旅館がある都市はどこですか？
