質問,
1,最も長い単語は何ですか？
2,全ての母音を含む単語は何ですか？
3,最も多くのシラブルを持つ単語は何ですか？
4,同じスペルで異なる意味を持つ単語は何ですか？
5,逆さにしても同じ単語は何ですか？
6,同じ発音で異なるスペルの単語は何ですか？
7,最も多くの同義語を持つ単語は何ですか？
8,全てのアルファベットを含む文は何ですか？
9,一つの単語で全てのアルファベットを含む単語は何ですか？
10,全てのシラブルが同じ音を持つ単語は何ですか？
11,最も長い無音部分を含む単語は何ですか？
12,最も短い完全な文は何ですか？
13,最も多くの同音異義語を持つ単語は何ですか？
14,逆さにしても意味が変わらない文は何ですか？
15,一つの単語で複数の意味を持つ単語は何ですか？
16,全ての母音が同じ音を持つ単語は何ですか？
17,同じ文字で始まり同じ文字で終わる単語は何ですか？
18,同じ意味を持つが異なる言語の単語は何ですか？
19,最も多くの翻訳がある単語は何ですか？
20,最も多くの綴りを持つ単語は何ですか？
21,全てのアルファベットが一度だけ使われる文は何ですか？
22,最も多くの母音を持つ単語は何ですか？
23,全ての子音が同じ音を持つ単語は何ですか？
24,一つの単語で複数の音を持つ単語は何ですか？
25,同じ音で異なる意味を持つ文は何ですか？
