質問,
1,最も面積の大きい国はどこですか？
2,最も人口の多い国はどこですか？
3,最も小さな国はどこですか？
4,最も多くの言語が話されている国はどこですか？
5,最も高い山を持つ国はどこですか？
6,最も多くの島を持つ国はどこですか？
7,最も多くの時間帯を持つ国はどこですか？
8,最も古い文明を持つ国はどこですか？
9,最も多くのオリンピックメダルを獲得した国はどこですか？
10,最も大きな砂漠を持つ国はどこですか？
11,最も多くの世界遺産を持つ国はどこですか？
12,最も長い国境を持つ国はどこですか？
13,最も多くの森林を持つ国はどこですか？
14,最も多くの河川を持つ国はどこですか？
15,最も多くの湖を持つ国はどこですか？
16,最も長い海岸線を持つ国はどこですか？
17,最も多くの民族を持つ国はどこですか？
18,最も大きな経済を持つ国はどこですか？
19,最も多くの祭りを持つ国はどこですか？
20,最も多くの宗教を持つ国はどこですか？
21,最も多くの言語を公用語とする国はどこですか？
22,最も多くの季節を持つ国はどこですか？
23,最も多くの人口密度を持つ国はどこですか？
24,最も多くの島々を結ぶ橋を持つ国はどこですか？
25,最も多くの温泉を持つ国はどこですか？
